gvkey,datadate,ticker,cusip,conm,saleq,revtq,cogsq,xsgaq,oiadpq,txtq,piq,atq,gross_margin,marketing_effi,roic,adj_price,rev_growth_yoy
025274,2011-03-31,OLED,91347P105,UNIVERSAL DISPLAY CORP,9.601,9.601,11.967,,-2.743,0.297,-11.584,343.176,-0.24643266326424332,,0.24286319593752861,,1.2606545797033202
025166,2011-03-31,KOPN,500600101,KOPIN CORP,34.934,34.934,21.605,9.045,2.357,0.098,2.142,193.607,0.38154806205988434,3.862244333886125,1.0500295978958032,4.58,0.3724365522118329
024803,2011-03-31,VTSS,928497304,VITESSE SEMICONDUCTOR CORP,36.892,36.892,12.168,24.875,-1.038,0.075,-8.966,74.721,0.6701723950992085,1.4830954773869347,0.11673910346813443,4.83,-0.15984605224203496
189518,2011-03-31,GCTS.1,36158A101,GCT SEMICONDUCTOR INC-REDH,20.932,20.932,13.929,5.313,1.69,-0.1,-1.411,,0.334559526084464,3.939770374552983,-1.1128467679028953,,1.9615166949632146
201395,2011-03-31,TSM,874039100,TAIWAN SEMICONDUCTOR MFG CO,3584.268,3584.268,982.666,425.433,1332.074,132.154,1371.171,25514.489,0.7258391392607919,8.424988188504418,0.8778541729874627,12.18,0.23367940776801954
208068,2011-03-31,SPIL,827084864,SILICONWARE PRECISION INDS,492.079,492.079,342.27,34.548,40.11,5.005,41.402,2774.637,0.30444095358672085,14.24334259580873,0.8516783522708526,6.04,-0.00477107342073213
209341,2011-03-31,UMC,910873405,UNITED MICROELECTRONICS CORP,1060.056,1060.056,539.826,129.717,131.297,15.164,165.26,9630.598,0.4907570920781544,8.172066884062998,0.7215865420547826,2.73,0.23036853394244972
154434,2011-03-31,MSPD,602682205,MINDSPEED TECHNOLOGIES INC,38.553,38.553,12.352,24.604,-0.334,0.135,-0.624,111.451,0.6796098876870801,1.5669403349048936,0.6510570759368837,8.46,-0.042232877052642115
012216,2011-03-31,LLTC,535678106,LINEAR TECHNOLOGY CORP,353.192,353.192,66.127,95.056,179.036,28.993,170.55,1513.09,0.8127732224965458,3.7156202659484934,0.871301113329433,33.63,0.13448368901851437
126423,2011-03-31,ONTO,683344105,ONTO INNOVATION INC,50.599,50.599,22.164,18.77,8.084,1.411,8.15,226.833,0.5619676278187316,2.695737879595099,0.8201750310512251,,0.24560582935355213
127114,2011-03-31,MTLK,M69897110,METALINK LTD,0.099,0.099,0.005,0.076,0.018,0.0,0.028,5.109,0.9494949494949495,1.3026315789473684,0.6428571428571429,0.8501,0.98
130762,2011-03-31,ISIL,46069S109,INTERSIL CORP  -CL A,198.875,198.875,78.243,84.722,23.446,3.172,17.306,1651.06,0.6065719673161534,2.347383206251033,1.1064720524204739,12.45,0.05010402036053363
132740,2011-03-31,IFNNY,45662N103,INFINEON TECHNOLOGIES AG,1494.061,1494.061,728.044,338.403,293.799,19.169,278.154,8118.349,0.5127079818026171,4.4150347366896865,0.9834545750331073,,0.492555011992899
133288,2011-03-31,SLAB,826919102,SILICON LABORATORIES INC,119.636,119.636,43.076,62.075,11.232,7.674,5.714,733.51,0.6399411548363368,1.927281514297221,-0.6742682251368431,43.21,-0.055895327456813915
133564,2011-03-31,CAMT,M20791105,CAMTEK LTD,27.47,27.47,14.663,9.842,2.965,0.136,2.557,99.938,0.46621769202766655,2.7910993700467386,1.0978879819352245,3.9928,0.5584047200317694
133726,2011-03-31,CCMP,12571T100,CMC MATERIALS INC,109.66,109.66,50.953,33.277,19.456,7.01,20.102,609.507,0.5353547328105052,3.2953691739038975,0.630348925583494,52.25,0.11266691018304309
133905,2011-03-31,NVMI,M7516K103,NOVA LTD,28.169,28.169,11.571,8.407,7.829,0.0,8.048,107.628,0.5892292946146473,3.3506601641489233,0.9727882703777336,9.7825,0.7626556535886366
134932,2011-03-31,ON,682189105,ON SEMICONDUCTOR CORP,870.6,870.6,585.1,187.6,45.1,0.8,37.0,4016.8,0.3279347576384103,4.640724946695096,1.1925639152666179,,0.5823336968375135
135044,2011-03-31,PXLW,72581M404,PIXELWORKS INC,14.7,14.7,6.874,9.829,-3.257,-0.091,-1.559,53.528,0.5323809523809524,1.4955743208871706,1.9672138971668571,3.6,-0.21356730151936665
135788,2011-03-31,CEVA,157210105,CEVA INC,15.052,15.052,0.823,9.228,4.876,0.77,5.421,195.159,0.9453228806803082,1.6311226701343735,0.771704836122588,26.73,0.41986605037260616
137573,2011-03-31,ENTG,29362U104,ENTEGRIS INC,203.125,203.125,107.961,48.322,37.334,8.273,37.848,617.51,0.4684996923076923,4.203571872025164,0.7708030178876125,8.78,0.2654895926135903
137602,2011-03-31,ACLS,054540208,AXCELIS TECHNOLOGIES INC,93.17,93.17,60.207,28.392,2.689,0.133,1.945,286.31,0.353794139744553,3.2815581854043394,1.2879819720990477,10.6,0.9210309278350515
148390,2011-03-31,FORM,346375108,FORMFACTOR INC,40.428,40.428,33.424,23.947,-19.878,0.207,-21.217,438.941,0.17324626496487583,1.6882281705432831,0.9460308374187357,10.29,0.0192104068975949
163679,2011-03-31,AATI,00752J108,ADVANCED ANALOGIC TECH,20.486,20.486,10.998,16.255,-7.492,0.171,-7.523,136.078,0.4631455628233916,1.2602891418025224,1.0185159325924844,3.78,-0.06533442832375214
163772,2011-03-31,CODE,84649R200,SPANSION INC,292.937,292.937,172.082,69.512,-0.74,5.097,-9.051,1346.777,0.41256311083953207,4.21419323282311,0.12780082021126773,18.67,0.05624925631992861
163927,2011-03-31,HITT,43365Y104,HITTITE MICROWAVE CORP,67.241,67.241,16.467,17.872,31.208,11.089,31.267,434.244,0.7551047723858955,3.7623657117278424,0.6441271835798429,63.77,0.24076910302068533
164211,2011-03-31,SIMO,82706C108,SILICON MOTION TECH -ADR,43.34,43.34,23.924,14.083,5.333,1.009,7.462,203.889,0.4479926165205353,3.077469289213946,0.6180487883898989,8.08,0.6667948619336976
175982,2011-03-31,CSIQ,136635109,CANADIAN SOLAR INC,443.404,443.404,378.084,31.279,34.041,1.743,7.678,1714.184,0.14731486409685074,14.175772882764795,3.4271003182877693,11.28,0.3160083221787251
176261,2011-03-31,TSL.1,89628E104,TRINA SOLAR CO LTD,550.853,550.853,399.573,66.786,84.494,12.32,59.973,2304.015,0.27462862142894745,8.248031024466206,1.1194496618960388,,0.6353502097428756
